,price_tnd,Area,room,bathroom,state,latt,long,distance_to_capital,garage,concierge,beach_view,mountain_view,pool,elevator,furnished,equipped_kitchen,central_heating,air_conditioning
66,14000.0,4000.0,12.0,12.0,1.0,36.833333,10.316667,15.3139811663917,0,0,0,0,0,0,0,0,0,0
68,1000000.0,1400.0,8.0,8.0,1.0,33.8075978,10.8451467,336.063533301856,1,0,1,0,0,0,0,0,0,0
70,1650000.0,910.0,9.0,8.0,1.0,36.8625,10.19556,6.32498837542227,1,0,1,1,1,1,0,1,1,1
71,1800000.0,900.0,8.0,4.0,1.0,33.8869,9.5375,327.765254316544,1,0,1,0,1,0,0,0,1,0
72,800000.0,865.0,6.0,4.0,2.0,36.40108,10.61457,65.4597220191691,1,0,0,0,1,0,0,1,0,1
73,1850000.0,780.0,10.0,6.0,2.0,36.8625,10.19556,6.32498837542227,1,0,0,1,0,0,0,1,1,1
74,1900000.0,761.0,12.0,4.0,0.0,36.845235,10.164723,4.6317218774898,1,0,0,0,0,0,0,0,0,0
75,1200000.0,687.0,8.0,2.0,1.0,36.83017,10.13736,5.54992694975533,1,0,0,0,0,0,0,0,0,0
77,1250000.0,652.0,8.0,4.0,2.0,36.8625,10.19556,6.32498837542227,1,0,0,1,0,0,0,1,1,0
78,1490000.0,576.0,8.0,4.0,1.0,36.845235,10.164723,4.6317218774898,1,0,0,0,1,0,0,0,1,1
79,1150000.0,560.0,8.0,4.0,1.0,36.845235,10.164723,4.6317218774898,1,0,0,0,0,0,0,0,1,1
80,1100000.0,542.0,12.0,6.0,2.0,36.40108,10.61457,65.4597220191691,0,0,0,0,0,0,0,1,1,1
81,850000.0,540.0,6.0,2.0,1.0,35.8569,10.5972,113.681036216882,1,0,0,0,0,0,0,0,0,0
83,1100000.0,500.0,11.0,5.0,2.0,36.876389,10.325278,17.7221901283016,1,0,0,0,0,0,0,1,0,0
84,1170000.0,480.0,9.0,3.0,2.0,36.83561,10.21587,4.97542612901849,1,0,0,1,0,0,0,1,1,1
85,550000.0,446.0,4.0,2.0,2.0,36.876389,10.325278,17.7221901283016,0,0,0,0,0,0,0,1,1,1
86,1600000.0,420.0,11.0,11.0,2.0,33.8869,9.5375,327.765254316544,0,0,0,0,0,0,1,1,1,1
89,670000.0,400.0,25.0,10.0,1.0,36.81881,10.16596,2.19113226059161,1,0,0,0,0,0,0,0,0,0
90,1100000.0,390.0,9.0,3.0,1.0,36.876389,10.325278,17.7221901283016,1,0,0,0,0,0,0,0,0,0
91,950000.0,370.0,9.0,6.0,2.0,36.883333,10.25,11.3450822580238,1,1,0,0,0,0,0,1,1,1
92,800000.0,360.0,7.0,2.0,1.0,35.87,10.57,111.167790931873,0,0,0,0,0,0,0,0,1,0
93,420000.0,360.0,7.0,6.0,1.0,36.4064490599802,10.5563723383912,60.4336897979933,0,0,0,0,1,0,0,0,0,1
97,980000.0,300.0,3.0,4.0,2.0,36.845235,10.164723,4.6317218774898,0,0,0,0,1,0,0,0,0,0
98,720000.0,266.0,4.0,3.0,2.0,33.8092721652541,10.9901396453313,339.71587713055,1,0,0,0,1,0,0,0,0,0
99,550000.0,265.0,7.0,3.0,1.0,36.954444,10.191389,16.228614774176,1,0,0,1,0,0,0,1,0,0
100,773000.0,262.0,3.0,3.0,2.0,36.40108,10.61457,65.4597220191691,0,0,0,0,1,0,0,0,1,1
101,1250000.0,228.0,12.0,6.0,1.0,35.7678,10.8225,134.077396594029,0,0,0,0,0,0,1,1,1,1
102,820000.0,222.0,8.0,6.0,2.0,36.77494,10.1306,6.6306819340308,0,0,0,0,0,0,1,1,1,1
103,450000.0,150.0,6.0,6.0,0.0,36.81881,10.16596,2.19113226059161,0,0,0,0,0,0,0,0,0,0
105,1800000.0,3550.0,7.0,7.0,1.0,37.266667,9.866667,61.3547423350838,1,0,0,1,1,0,0,1,1,1
107,5000000.0,4992.0,11.0,4.0,2.0,36.88833,10.27417,13.6515294537323,1,0,0,0,1,0,0,1,1,1
108,1400000.0,4300.0,5.0,2.0,2.0,36.54,10.55,50.2860383662446,0,0,0,0,0,0,0,0,0,0
109,2000000.0,1200.0,4.0,3.0,2.0,36.896544,10.217961,10.6556323701042,1,0,0,0,1,0,0,0,1,1
110,1400000.0,1000.0,4.0,2.0,2.0,36.40108,10.61457,65.4597220191691,0,0,0,0,1,0,0,0,0,0
111,1200000.0,1000.0,5.0,4.0,1.0,36.40108,10.61457,65.4597220191691,1,0,0,0,1,0,0,1,1,1
112,1200000.0,1000.0,4.0,2.0,2.0,36.40108,10.61457,65.4597220191691,0,0,0,0,1,0,1,1,0,1
113,2200000.0,980.0,10.0,6.0,1.0,36.8625,10.19556,6.32498837542227,1,0,0,0,0,0,0,1,1,1
114,550000.0,798.0,4.0,3.0,1.0,34.417865,8.788051,304.35796591161,1,0,0,1,0,0,0,1,0,1
115,1200000.0,700.0,4.0,2.0,2.0,36.40108,10.61457,65.4597220191691,0,0,0,0,1,0,0,0,0,0
116,1200000.0,700.0,6.0,4.0,1.0,36.8331947,10.1384603,5.60719012128619,1,0,0,0,1,0,0,1,1,1
118,1600000.0,680.0,10.0,5.0,0.0,36.8625,10.19556,6.32498837542227,1,0,0,0,0,0,0,1,1,1
119,1480000.0,677.0,10.0,5.0,1.0,36.845235,10.164723,4.6317218774898,1,0,0,0,1,0,0,1,1,1
120,1100000.0,664.0,7.0,4.0,1.0,36.845235,10.164723,4.6317218774898,1,0,0,0,0,0,0,1,1,1
121,450000.0,600.0,5.0,2.0,1.0,34.43071,10.38506,260.915300510146,1,0,0,0,0,0,0,0,0,0
122,2700000.0,550.0,7.0,4.0,1.0,36.8625,10.19556,6.32498837542227,0,0,0,0,0,0,0,1,1,0
124,1400000.0,500.0,4.0,5.0,2.0,36.81881,10.16596,2.19113226059161,1,0,0,0,1,0,0,1,1,1
125,950000.0,500.0,9.0,4.0,1.0,36.883333,10.25,11.3450822580238,0,0,0,0,0,0,0,1,1,0
126,650000.0,463.0,9.0,5.0,1.0,36.954444,10.191389,16.228614774176,1,0,0,0,0,0,0,1,1,1
127,1500000.0,444.0,8.0,4.0,1.0,36.8340659405044,10.3196942015908,15.6597258364807,1,0,1,0,0,0,0,1,1,0
128,265000.0,416.0,7.0,3.0,2.0,33.8869,9.5375,327.765254316544,0,0,0,1,1,0,1,1,0,0
129,560000.0,410.0,6.0,5.0,2.0,36.40108,10.61457,65.4597220191691,0,0,0,0,0,0,0,1,0,1
130,3600000.0,400.0,7.0,4.0,0.0,36.8863095400374,10.3202569047241,17.7289905592112,0,0,0,0,0,0,0,0,1,0
131,850000.0,400.0,7.0,5.0,1.0,36.4400652685373,10.6862981689453,68.9669254139542,1,0,1,1,0,0,0,1,1,1
132,850000.0,400.0,5.0,2.0,2.0,36.40108,10.61457,65.4597220191691,0,0,0,0,0,0,0,0,1,1
134,770000.0,320.0,7.0,3.0,1.0,37.266667,9.866667,61.3547423350838,1,0,1,0,0,0,0,1,0,1
135,750000.0,320.0,6.0,4.0,2.0,36.40108,10.61457,65.4597220191691,0,0,0,0,1,0,0,1,1,1
137,330000.0,200.0,4.0,2.0,1.0,36.8144703,10.1344725,5.30148623956287,1,1,0,0,0,0,0,1,0,1
139,340000.0,170.0,6.0,2.0,1.0,36.40108,10.61457,65.4597220191691,0,0,0,1,0,0,0,1,0,0
141,389000.0,161.0,4.0,2.0,1.0,36.419773,10.661894,68.1327730498967,0,0,1,0,0,0,1,1,1,1
145,1700000.0,20000.0,5.0,4.0,2.0,36.8240829,10.2243965,5.1433725350502,0,0,0,1,0,0,0,0,1,1
146,1350000.0,15000.0,7.0,3.0,2.0,36.45056,10.73505,72.8250683705131,1,0,0,1,1,0,1,1,1,1
148,825000.0,10000.0,9.0,5.0,1.0,36.8094099,9.9089889,30.3035267006511,1,0,0,1,0,0,0,1,1,0
149,890000.0,6000.0,3.0,2.0,2.0,36.45056,10.73505,72.8250683705131,0,0,0,1,1,0,0,1,0,1
150,3500000.0,2700.0,8.0,6.0,1.0,36.883333,10.25,11.3450822580238,1,0,0,1,1,0,0,1,1,1
154,2000000.0,1670.0,9.0,9.0,1.0,36.0301,10.5079,92.3583836319928,1,0,1,0,1,0,0,1,1,0
155,4500000.0,1370.0,5.0,5.0,1.0,36.8355152,10.2241758,5.70971665057163,1,0,0,0,1,0,0,1,1,1
156,2700000.0,1300.0,8.0,4.0,1.0,35.8569,10.5972,113.681036216882,1,1,1,0,1,0,0,1,1,1
157,1900000.0,1300.0,8.0,2.0,0.0,36.83017,10.13736,5.54992694975533,1,0,0,0,0,0,0,0,0,0
158,2000000.0,1200.0,8.0,5.0,1.0,36.883333,10.25,11.3450822580238,1,0,0,0,1,0,0,1,1,1
159,900000.0,1170.0,6.0,4.0,1.0,34.778117,10.725839,229.911459563327,1,0,0,0,0,0,1,1,1,0
